genero,semana,fase,pool,local,data,time_mandante,time_visitante,placar_sets,set1,set2,set3,set4,set5,status
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,03/06/2026,Ucrânia,EUA,0-3,16-25,17-25,23-25,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,03/06/2026,França,Japão,1-3,25-23,12-25,22-25,13-25,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,03/06/2026,Canadá,Alemanha,1-3,26-28,25-22,18-25,18-25,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,04/06/2026,Ucrânia,Alemanha,3-1,,,,, ,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,04/06/2026,Canadá,EUA,3-0,25-22,25-22,30-28,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,05/06/2026,Ucrânia,Japão,0-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,05/06/2026,França,EUA,2-3,25-21,23-25,27-25,23-25,15-11,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,06/06/2026,Canadá,França,3-1,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,06/06/2026,Alemanha,Japão,0-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,07/06/2026,Ucrânia,França,2-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,07/06/2026,EUA,Alemanha,3-0,25-22,25-15,25-12,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,07/06/2026,Canadá,Japão,2-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,03/06/2026,Rep. Dominicana,Turquia,2-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,03/06/2026,Itália,Bulgária,3-0,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,03/06/2026,Brasil,Holanda,3-1,25-17,25-15,27-25,25-23,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,04/06/2026,Turquia,Holanda,0-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,04/06/2026,Brasil,Rep. Dominicana,3-0,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,05/06/2026,Rep. Dominicana,Bulgária,3-2,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,05/06/2026,Holanda,Itália,0-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,06/06/2026,Brasil,Bulgária,3-0,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,06/06/2026,Itália,Turquia,3-1,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,07/06/2026,Rep. Dominicana,Holanda,0-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,07/06/2026,Brasil,Itália,3-2,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,07/06/2026,Bulgária,Turquia,1-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,03/06/2026,Bélgica,Polônia,2-3,25-20,22-25,25-23,18-25,13-15,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,03/06/2026,Tailândia,Sérvia,0-3,24-26,22-25,19-25,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,03/06/2026,China,Rep. Tcheca,0-3,20-25,20-25,24-26,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,04/06/2026,Rep. Tcheca,Polônia,0-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,04/06/2026,China,Tailândia,3-2,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,05/06/2026,Bélgica,Rep. Tcheca,0-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,05/06/2026,Sérvia,Polônia,2-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,06/06/2026,Tailândia,Bélgica,2-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,06/06/2026,China,Sérvia,3-0,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,07/06/2026,Tailândia,Rep. Tcheca,0-3,,,,,,Realizado
Feminino,Semana 1,Fase Preliminar,Pool 3 - Nanjing (CHN),Nanjing - Olympic Youth Sports Park Gymnasium,07/06/2026,Bélgica,Sérvia,3-2,,,,,,Realizado
