genero,semana,fase,pool,local,data,time_mandante,time_visitante,placar_sets,set1,set2,set3,set4,set5,status,horario_local,fuso_horario,horario_brasilia,link
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,03/06/2026,Ucrânia,EUA,0-3,16-25,17-25,23-25,,,Realizado,11:00,EDT (UTC-4),12:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,03/06/2026,França,Japão,1-3,25-23,12-25,22-25,13-25,,Realizado,16:30,EDT (UTC-4),17:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,03/06/2026,Canadá,Alemanha,1-3,26-28,25-22,18-25,18-25,,Realizado,20:00,EDT (UTC-4),21:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,04/06/2026,Ucrânia,Alemanha,3-1,,,,, ,Realizado,16:30,EDT (UTC-4),17:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,04/06/2026,Canadá,EUA,3-0,25-22,25-22,30-28,,,Realizado,20:00,EDT (UTC-4),21:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,05/06/2026,Ucrânia,Japão,0-3,,,,,,Realizado,16:30,EDT (UTC-4),17:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,05/06/2026,França,EUA,2-3,25-21,23-25,27-25,23-25,15-11,Realizado,20:30,EDT (UTC-4),21:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,06/06/2026,Canadá,França,3-1,,,,,,Realizado,16:30,EDT (UTC-4),17:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,06/06/2026,Alemanha,Japão,0-3,,,,,,Realizado,20:00,EDT (UTC-4),21:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,07/06/2026,Ucrânia,França,2-3,,,,,,Realizado,11:00,EDT (UTC-4),12:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,07/06/2026,EUA,Alemanha,3-0,25-22,25-15,25-12,,,Realizado,14:30,EDT (UTC-4),15:30,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 1 - Quebec City (CAN),Quebec City - Centre Videotron,07/06/2026,Canadá,Japão,2-3,,,,,,Realizado,18:00,EDT (UTC-4),19:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
Feminino,Semana 1,Fase Preliminar,Pool 2 - Brasília (BRA),Brasília - Nilson Nelson Gymnasium,03/06/2026,Rep. Dominicana,Turquia,2-3,,,,,,Realizado,13:00,BRT (UTC-3),13:00,https://en.volleyballworld.com/volleyball/competitions/volleyball-nations-league/news/vnl-off-to-a-great-start-with-record-breaking-attendance-and-plenty-of-surprises
